Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0x7E0,mcache_control,machine,RW,Supervisory Scratchpad Control,YES,MANUAL,`CSR_MCACHE_CTRL_SZ,,,,,,,NON-DEBUG,,,YES,,,
0x7F9,co_evict_sw,machine,RW,supervisory level evict SW cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,,
0x7FB,co_flush_sw,machine,RW,supervisory level flush SW cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,,
0x7FD,co_lock_sw,machine,RW,supervisory level lock SW cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,,
0x7FF,co_unlock_sw,machine,RW,supervisory level unlock SW cache operation,YES,MANUAL,,64'h0,,,,,,NON-DEBUG,,,YES,,,
Custom CORE-ET Debug m-mode csr,,,,,,,,,,,,,,,,,,,,
0xFC0,dcache_debug,machine,RO,Dcache submodule status,YES,MANUAL,64,dcache_debug_signals,,,,,,,,NO,YES,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Not implemented/hardwired,,,,,,,,,,,,,,,,,,,,
User not implemented/hardwired,,,,,,,,,,,,,,,,,,,,
0xC09,hpmcounter9,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC0A,hpmcounter10,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC0B,hpmcounter11,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC0C,hpmcounter12,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC0D,hpmcounter13,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC0E,hpmcounter14,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC0F,hpmcounter15,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
0xC10,hpmcounter16,user,RO-HWIRED,Performance-monitoring counter,YES,,0,64'h0,,,,,,,,,NO,,,
